filename_and_fake,std,ci,fake,mos,num_ratings,count_1,count_2,count_3,count_4,count_5,filename
static/images/500px_cc0/medium/1011015218_Anemone-.jpg1,1.027105182026191,0.5930328762813919,1.0,2.857142857142857,14,0,7,3,3,1,static/images/500px_cc0/medium/1011015218_Anemone-.jpg
"static/images/500px_cc0/medium/1023277564_Montauk_Point_Lighthouse,_Montauk_Point_State_Park,_New_York.jpg0",0.9962049198956219,0.6329584084688271,0.0,2.9166666666666665,12,1,3,4,4,0,"static/images/500px_cc0/medium/1023277564_Montauk_Point_Lighthouse,_Montauk_Point_State_Park,_New_York.jpg"
"static/images/500px_cc0/medium/1023277564_Montauk_Point_Lighthouse,_Montauk_Point_State_Park,_New_York.jpg1",0.7703288865196434,0.4447746572110436,1.0,3.142857142857143,14,0,3,6,5,0,"static/images/500px_cc0/medium/1023277564_Montauk_Point_Lighthouse,_Montauk_Point_State_Park,_New_York.jpg"
static/images/500px_cc0/medium/1026890271_Reclining_Naiad_1819-1824_by_.jpg0,1.0919284281983377,0.6598457452602964,0.0,2.230769230769231,13,4,4,3,2,0,static/images/500px_cc0/medium/1026890271_Reclining_Naiad_1819-1824_by_.jpg
static/images/500px_cc0/medium/1026890271_Reclining_Naiad_1819-1824_by_.jpg1,1.2649110640673518,0.6740235281698292,1.0,2.5,16,3,7,3,1,2,static/images/500px_cc0/medium/1026890271_Reclining_Naiad_1819-1824_by_.jpg
static/images/500px_cc0/medium/1026975700_http_www.metmuseum.org_art_collection_search_247994.jpg0,0.7613869876268811,0.32150552805311206,0.0,2.3333333333333335,24,4,8,12,0,0,static/images/500px_cc0/medium/1026975700_http_www.metmuseum.org_art_collection_search_247994.jpg
static/images/500px_cc0/medium/1026975700_http_www.metmuseum.org_art_collection_search_247994.jpg1,1.1547005383792517,0.5119655376175807,1.0,3.0,22,2,5,9,3,3,static/images/500px_cc0/medium/1026975700_http_www.metmuseum.org_art_collection_search_247994.jpg
static/images/500px_cc0/medium/107140907_Tagetes.jpg0,1.0178151661369075,0.5061475744080939,0.0,3.2777777777777777,18,1,3,5,8,1,static/images/500px_cc0/medium/107140907_Tagetes.jpg
static/images/500px_cc0/medium/107140907_Tagetes.jpg1,0.8269362305593854,0.4251713772232253,1.0,3.0588235294117645,17,0,5,6,6,0,static/images/500px_cc0/medium/107140907_Tagetes.jpg
static/images/500px_cc0/medium/107284033_Center_parcs.jpg0,0.8876253645985945,0.5639702503695275,0.0,2.3333333333333335,12,2,5,4,1,0,static/images/500px_cc0/medium/107284033_Center_parcs.jpg
static/images/500px_cc0/medium/107284033_Center_parcs.jpg1,0.9847319278346618,0.6256688170903368,1.0,2.3333333333333335,12,2,6,2,2,0,static/images/500px_cc0/medium/107284033_Center_parcs.jpg
static/images/500px_cc0/medium/107515765_Tomato_blossom.jpg0,1.0145145470035761,0.48898035938717266,0.0,2.8421052631578947,19,2,4,9,3,1,static/images/500px_cc0/medium/107515765_Tomato_blossom.jpg
static/images/500px_cc0/medium/107515765_Tomato_blossom.jpg1,0.8617697249402124,0.44308110742016593,1.0,2.3529411764705883,17,3,6,7,1,0,static/images/500px_cc0/medium/107515765_Tomato_blossom.jpg
static/images/500px_cc0/medium/111241589_Tagetes.jpg0,1.4337208778404378,1.0256221311715414,0.0,2.5,10,3,3,1,2,1,static/images/500px_cc0/medium/111241589_Tagetes.jpg
static/images/500px_cc0/medium/111241589_Tagetes.jpg1,1.2401124093721456,0.7879298337945153,1.0,3.0833333333333335,12,2,1,4,4,1,static/images/500px_cc0/medium/111241589_Tagetes.jpg
static/images/500px_cc0/medium/112540029_2-Euro.jpg0,1.2504544628399563,0.8400667387425802,0.0,3.1818181818181817,11,1,2,4,2,2,static/images/500px_cc0/medium/112540029_2-Euro.jpg
static/images/500px_cc0/medium/112540029_2-Euro.jpg1,1.328057326976612,0.7667974714428358,1.0,3.0714285714285716,14,1,5,3,2,3,static/images/500px_cc0/medium/112540029_2-Euro.jpg
static/images/500px_cc0/medium/112540127_something_with_alot_of_legs.jpg0,1.292412345317728,0.7462166717661516,0.0,3.142857142857143,14,2,2,4,4,2,static/images/500px_cc0/medium/112540127_something_with_alot_of_legs.jpg
static/images/500px_cc0/medium/112540127_something_with_alot_of_legs.jpg1,1.1254628677422753,0.6232605618720797,1.0,2.1333333333333333,15,5,5,4,0,1,static/images/500px_cc0/medium/112540127_something_with_alot_of_legs.jpg
static/images/500px_cc0/medium/116213163_Tagetes.jpg0,1.2761549390929883,0.5808987637511103,0.0,2.857142857142857,21,4,3,9,2,3,static/images/500px_cc0/medium/116213163_Tagetes.jpg
